ChaveInstrumento,NomeContratado,NomeUnidadeGestoraReferencia,ModalidadeLicitacao,ValorTotalContratacaoInstrumento,ValorAtualContratacaoInstrumento,percentual_sobrecusto
017E0500002-2021.017E0500002.02.0044-0000000009-2021-169-2022,HIMALAIA REFRIGERACAO E CONSERVACAO EIRELI,Fundo Municipal de Saúde de Cariacica,Concorrência,6829855.97,35358336.77,417.70252440623585
018E0700001-2021.018E0700001.01.0103-000026-2021-106172-2021,ECO-TECH SOLUÇÕES AMBIENTAIS LTDA,Prefeitura Municipal de Castelo,Pregão Presencial,234000.0,704961.98,201.26580341880342
017E0600008-2021.017E0600008.02.0019-0000000015-2021-194-2022,LOFT INTERIORES ARQUITETURA E CONSTRUCAO LTDA,Secretaria Municipal de Educação de Cariacica,Concorrência,1910302.38,6516120.54,241.10414184795187
076E0500001-2021.076E0500001.02.0121-16-2022-396-2022,ARVAK COMERCIAL REPRESENTACAO E SERVICOS LTDA,Fundo Municipal de Saúde de Vila Velha,Pregão Eletrônico,72000.0,308597.69,328.6079027777778
076E0500001-2021.076E0500001.02.0121-16-2022-399-2022,BERNABE GASES LTDA,Fundo Municipal de Saúde de Vila Velha,Pregão Eletrônico,1280000.0,5349773.41,317.95104765625
037E0500001-2021.037E0700001.01.0017-000054-2021-000002-B-2022,PENHA DE SOUZA JAMARIQUELI COM. E SERV. DE TELECOM,Fundo Municipal de Saúde de Iúna,Pregão Presencial,42038.8,42038.8,0.0
037E0500001-2021.037E0700001.02.0020-000028-2021-000038-D-2022,E. S. BRASIL MECANICA,Fundo Municipal de Saúde de Iúna,Pregão Presencial,79126.0,79126.0,0.0
042E0600028-2021.042E0600019.02.0001-000047-2021-220049-2023,MARQUES ESTRUTURAS LTDA ME,Secretaria Municipal de Esporte e Lazer de Linhares,Pregão Eletrônico,1775000.0,7731504.4,335.57771267605636
042E0600028-2021.042E0600019.02.0001-000047-2021-230047-2023,RK SONORIZAÇÃO E SERVICOS EIRELI,Secretaria Municipal de Esporte e Lazer de Linhares,Pregão Eletrônico,435980.0,1743920.0,300.0
076E0600014-2021.076E0600014.01.0006-003-2022-267-2022,ATMOSFERA CONSTRUTORA LTDA EPP,Secretaria Municipal de Obras e Projetos Estruturantes de Vila Velha,Concorrência,10640238.34,32111151.39,201.78977541587665
076E0600014-2021.076E0600014.01.0006-003-2022-268-2022,ESTRUTURAL CONSTRUTORA E INCORP. LTDA,Secretaria Municipal de Obras e Projetos Estruturantes de Vila Velha,Concorrência,10640238.34,27605263.85,159.44215691318811
076E0600014-2021.076E0600014.01.0006-003-2022-269-2022,PHD CONSTRUÇÕES E PAVIMENTAÇOES LTDA,Secretaria Municipal de Obras e Projetos Estruturantes de Vila Velha,Concorrência,10640238.34,32163978.52,202.28625987714483
059E0700001-2021.059E0700001.01.0006-000024-2021-000031-2022,MAVATUR TRANSPORTES E TURISMO LTDA EPP,Prefeitura Municipal de Rio Bananal,Pregão Eletrônico,4123902.1,22843740.94,453.9350931730411
059E0700001-2021.059E0700001.01.0006-000024-2021-000032-2022,RIO TRANSPORTES LTDA,Prefeitura Municipal de Rio Bananal,Pregão Eletrônico,1336884.85,6104316.05,356.60746697817683
059E0700001-2021.059E0700001.01.0006-000024-2021-000033-2022,"SANTUR SANTANA TRANSPORTES, TURISMO E SERVICOS LTD",Prefeitura Municipal de Rio Bananal,Pregão Eletrônico,1158564.05,5193025.58,348.22947682521306
037E0500001-2021.037E0700001.02.0036-000053-2021-000135-B-2022,C. S. COSTA COMÉRCIO E SERVIÇOS AMBIENTAIS LTDA,Fundo Municipal de Saúde de Iúna,Pregão Presencial,1000000.0,1100000.0,10.0
076E0600014-2021.076E0600014.01.0006-003-2022-281-2022,ATMOSFERA CONSTRUTORA LTDA EPP,Secretaria Municipal de Obras e Projetos Estruturantes de Vila Velha,Concorrência,10640238.34,32354293.56,204.07489499901556
076E0600014-2021.076E0600014.01.0006-003-2022-282-2022,ESTRUTURAL CONSTRUTORA E INCORP. LTDA,Secretaria Municipal de Obras e Projetos Estruturantes de Vila Velha,Concorrência,10640238.34,28147176.73,164.5352089923204
076E0600014-2021.076E0600014.01.0006-003-2022-283-2022,PHD CONSTRUÇÕES E PAVIMENTAÇOES LTDA,Secretaria Municipal de Obras e Projetos Estruturantes de Vila Velha,Concorrência,10640238.34,32170496.91,202.3475215687697
001E0500001-2022.001E0500001.01.0004-000028-2022-000013-2022,ULTRAMED Tecnologia e Serviços Ltda,Fundo Municipal de Saúde de Afonso Cláudio,Pregão Eletrônico,329282.08,1317128.32,300.0
001E0500001-2022.001E0500001.09.0005-000010-2022,JOSÉ LUIZ DO CARMO,Fundo Municipal de Saúde de Afonso Cláudio,,24000.0,96000.0,300.0
002E0700001-2021.501C2600010.02.0021-000010-2021-000227-2022,"GEOCAMP ASSESSORIA, CONSULTORIA E INFORMÁTICA LTDA",Prefeitura Municipal de Água Doce do Norte,Pregão Presencial,948600.0,1236600.0,30.36053130929791
001E0700001-2022.001E0700001.01.0007-000017-2022-000029-2022,MEGA GRUPO DE TELECOMUNICACOES LTDA,Prefeitura Municipal de Afonso Cláudio,Pregão Eletrônico,223620.0,894480.0,300.0
001E0500001-2022.001E0500001.01.0002-000002-2022-000014-2022,DOC INFO SERVICOS EIRELI,Fundo Municipal de Saúde de Afonso Cláudio,Pregão Presencial,50400.0,201600.0,300.0
001E0500001-2022.001E0500001.09.0004-000009-2022,MIRIÃ VIEIRA DO NASCIMENTO,Fundo Municipal de Saúde de Afonso Cláudio,,14544.0,58176.0,300.0
001E0500001-2022.001E0700001.01.0007-000017-2022-000007-2022,MEGA GRUPO DE TELECOMUNICACOES LTDA,Fundo Municipal de Saúde de Afonso Cláudio,Pregão Eletrônico,25380.0,101520.0,300.0
001L0200001-2022.001L0200001.01.0004-000005-2022-000017-2022,NILSON DIDIMO MOREIRA EPP,Câmara Municipal de Afonso Cláudio,Pregão Presencial,23944.0,95776.0,300.0
001E0700001-2022.001E0700001.01.0017-000005-2022-000021-2023,OPUS ENGENHARIA E CONSULTORIA LTDA,Prefeitura Municipal de Afonso Cláudio,Tomada de Preços,2450000.23,3022575.33,23.3704100509411
001E0700001-2022.001E0700001.01.0021-000059-2022-000008-2023,CTRCI CENTRAL DE TRATAMENTO DE RESÍDUOS CACHOEIRO DE ITAPEMIRIM LTDA,Prefeitura Municipal de Afonso Cláudio,Pregão Eletrônico,543900.0,2175600.0,300.0
001E0700001-2022.001E0700001.09.0025-000032-2022,LOJA MAÇÔNICA JOSE CUPERTINO,Prefeitura Municipal de Afonso Cláudio,,7200.0,36235.68,403.27333333333337
001E0700001-2022.001E0700001.09.0056-000035-2022,J  A PARTICIPAÇOES SOCIETARIAS LTDA,Prefeitura Municipal de Afonso Cláudio,,74884.92,402079.09,436.9293176783791
002E0700001-2022.002E0700001.01.0013-000009-2022-000206-2022,TASSINARI  ROSSINE LTDA,Prefeitura Municipal de Água Doce do Norte,Tomada de Preços,1287779.42,1287779.42,0.0
001L0200001-2022.001L0200001.01.0002-000002-2022-000011-2022,W LIVRE LTDA ME,Câmara Municipal de Afonso Cláudio,Pregão Presencial,43320.0,218393.45,404.1400046168052
002E0700001-2022.002E0700001.02.0017-000005-2022-000067-2024,CERMACO - MATERIAL DE CONSTRUCAO LTDA - ME,Prefeitura Municipal de Água Doce do Norte,Pregão Presencial,368796.5,368796.5,0.0
002E0700001-2022.002E0700001.01.0014-000010-2022-000205-2022,TASSINARI  ROSSINE LTDA,Prefeitura Municipal de Água Doce do Norte,Tomada de Preços,593385.59,817695.96,37.80178922106956
002E0700001-2022.002E0700001.01.0025-000016-2022-000237-2022,DITAR SERVICOS E CONSTRUCOES LTDA,Prefeitura Municipal de Água Doce do Norte,Tomada de Preços,283838.74,350097.92,23.343952273745295
001L0200001-2022.001L0200001.09.0010-000014-2022,DEUVAIR ALVES DA SILVA,Câmara Municipal de Afonso Cláudio,,3600.0,14400.0,300.0
003E0700001-2022.003E0700001.01.0027-000014-2022-000114-2022,ALPHA TECNOLOGIA DA INFORMAÇÃO LTDA,Prefeitura Municipal de Águia Branca,Pregão Presencial,31980.0,119820.0,274.67166979362105
003E0700001-2022.003E0700001.01.0031-000016-2022-000024-2023,EL PRODUÇÕES DE SOFTWARE,Prefeitura Municipal de Águia Branca,Pregão Presencial,396000.0,1635779.76,313.075696969697
003E0700001-2022.003E0700001.01.0039-000003-2022-000180-2022,TROPA CONSTRUTORA LTDA-ME,Prefeitura Municipal de Águia Branca,Tomada de Preços,514544.91,589633.07,14.59312074430976
003E0700001-2022.003E0700001.01.0045-000003-2022-000037-2023,DOMINARE CONSTR. E EMPREENDIMENTO EIRELI.,Prefeitura Municipal de Águia Branca,Concorrência,9665320.09,8640756.55,-10.600409820467718
003E0700001-2022.003E0700001.01.0046-000004-2022-000040-2023,CONSTRUTORA AJB EIRELLI - ME,Prefeitura Municipal de Águia Branca,Concorrência,3949971.46,4424564.36,12.015096939459921
003E0800001-2022.003E0800001.01.0001-000001-2022-000003-2022,E  L PRODUÇÕES DE SOFTWARE LTDA,Instituto de Previdência dos Servidores do Município de Águia Branca,Pregão Presencial,35999.76,151564.32,321.0148067653784
003E0800001-2022.003E0800001.01.0001-000001-2022-000004-2022,UNIVERSALPREV SOFTWARE E CONSULTORIA LTDA,Instituto de Previdência dos Servidores do Município de Águia Branca,Pregão Presencial,15600.0,62959.56,303.5869230769231
003E0700001-2022.003E0700001.09.0122-000149-2022,LUIZ PAULO PANDOLFI CAPRINI,Prefeitura Municipal de Águia Branca,,17400.0,69600.0,300.0
004E0100001-2022.004E0100001.01.0003-000004-2022-000010-2022,G.P. VASCONCELOS ME,Serviço Autônomo de Água e Esgoto de Alegre,Pregão Presencial,193000.0,627250.0,225.0
